app_id,app_name,1,2,3,4,5
air.com.sgn.cookiejam.gp,Cookie Jam,91,69,74,90,557
com.disney.emojimatch_goo,Disney Emoji Blitz,155,58,104,134,528
com.dreamgames.royalkingdom,Royal Kingdom,415,106,64,51,223
com.dreamgames.royalmatch,Royal Match,208,46,59,55,316
com.king.candycrushsaga,Candy Crush Saga,62,13,21,67,350
com.king.candycrushsodasaga,Candy Crush Soda Saga,97,45,48,52,408
com.playrix.gardenscapes,Gardenscapes,171,43,46,51,319
com.playrix.homescapes,Homescapes,127,41,38,83,383
com.rovio.angrybirdsfriends,Angry Birds Friends,164,54,55,68,370
com.rovio.dream,Angry Birds Dream Blast,167,56,60,81,477
dk.tactile.lilysgarden,Lily's Garden,203,73,77,77,567
dk.tactile.mansionstory,Penny & Flo,137,64,92,121,572
net.peakgames.amy,Toy Blast,140,39,46,65,460
net.peakgames.toonblast,Toon Blast,216,69,58,71,373
