app_id,app_name,score_skew
com.king.candycrushsaga,Candy Crush Saga,-1.6243210689815482
air.com.sgn.cookiejam.gp,Cookie Jam,-1.2287132545264838
com.king.candycrushsodasaga,Candy Crush Soda Saga,-1.078714444612851
dk.tactile.mansionstory,Penny & Flo,-1.0555774227637558
net.peakgames.amy,Toy Blast,-0.995469119230532
com.disney.emojimatch_goo,Disney Emoji Blitz,-0.9338555440006129
com.playrix.homescapes,Homescapes,-0.9240549584425031
com.rovio.dream,Angry Birds Dream Blast,-0.8281644630331223
dk.tactile.lilysgarden,Lily's Garden,-0.7716342386726458
com.rovio.angrybirdsfriends,Angry Birds Friends,-0.6233431274716171
com.playrix.gardenscapes,Gardenscapes,-0.4953093097851241
net.peakgames.toonblast,Toon Blast,-0.4013815247903281
com.dreamgames.royalmatch,Royal Match,-0.33397833868394083
com.dreamgames.royalkingdom,Royal Kingdom,0.5530772082038493
