app_name,score,content,sentiment_keyword,is_inconsistent_rating
Royal Match,1,"It was a great game to start with just much messing around, still too long to upgrade",positive,True
Royal Match,1,this game along with most of them are rigged! you can never earn enough coins to keep going. that's so you will buy more with real money. so not a great game! it just costs tooooo much money to succeed!!! it's just a huge rip off!!!!!,positive,True
Royal Match,1,"Fun game, but not quite as good as it looks in the ad, I thought every stage was the king's nightmare",positive,True
Royal Match,1,1min forced adds.. Great gameplay Adds ruin it completely,positive,True
Royal Match,1,this game is amazing but you guys make it hard for us the players like now i just bought 4900 sweet pass to complete my collection but you not giving me the card i need why? I keep buying things so I can win the collection but you guys are making it impossible to win if I fail to win this collection i delete this app 😤,positive,True
Royal Match,1,this game offers great timing but since somebody joined your team and he's offline or ain't play the event you stuck,positive,True
Royal Match,5,"i need an explanation pls, why I play dimple this game and when it appears as an ads it shows more adventures",negative,True
Royal Match,1,the game used to be fun but now it gives you impossible levels and somewhat purposely makes you lose so you can spend money.. i dont mind spending a bit but this is ridiculous.. and the rewards are not even that good anymore..sorry but its not fun anymore just money grab.. uninstalling!,positive,True
Royal Match,5,"The overall game is cool, it's just that I missed the propeller rush, so I was wondering if it would be brought back, it's been soo long, most people have forgotten about it, but could you please bring it back Also I wouldn't say that it's a scam, but maybe if you put those many kings nightmares, then it may be interesting 'cause I'm tired of playing the same nightmare over and over again 😔😔😩 it's tiring",negative,True
Royal Match,1,Really good to play or it was I don't think so no more because having problems retrieving old profile in-app purchases it is very hard to get a hold of anyone I've been playing this game for a few years now just very disappointed ☹️ not as good as it once was,positive,True
Royal Match,1,"greedy, manipulative, shameless. coming from someone who's completed 12000+ levels and used to love this game. in my honest opinion the game will literally cheat and shove impossible boards in your face repeatedly to frustrate you into spending money. it didnt use to be like this but its unplayable now. if there was an option for 0/10 it wouldnt be enough to adequately express my disgust.",positive,True
Royal Match,1,"I used to love this game but these days it is real manipulated. you can play the whole day without getting the cards you need only give duplicates , too little coins gain , expensive to buy 5 more moves . it no longer exciting as it used to be now it's about spending real money , even dragon nest no longer give 5000 coins rewards 😡.",positive,True
Royal Match,4,"2 many ads, but GR8 game thx",negative,True
Royal Match,1,years after play it's sad to see the game has developed greedy tactics where no more permanent power ups and you get them temporary and you will get less tries so you almost definitely need to consume all your years of savings . its goodbye,positive,True
Royal Match,1,"the game is wonderful at first, but as you progress, it's a typical pay-to-win if you want to score good. Once you reach the top level and enter the League, game becomes unbearable. I understand now, why most free-2-play long-time players are leaving. But maybe it's developers' strategy: f the loyal players, the newcomers bring more revenue",positive,True
