text_hash,duplicate_count,content
d83769e2937e56c922fadeb91a512422,135,great game
33abbc19df7f2ea580bd7394172a2e5d,95,love this game
05505946344e835324378f1d09ab4a37,79,i love this game
fe31e048ac7538d40570174e27044b59,30,very nice game
6f314965439c1d36f24a3eceb344ea82,24,love the game
11a54707b0f52afebe20afa0e60c5d8e,15,relaxing
1d39f9b5b36b764b6c61f4dc4a106095,15,addictive
980cf525a8b3945aa0fd81b49ee5a1e9,14,lots of fun
15649ccc87b416b3afd3594f2e0e7fb5,13,I love the game
980fd5c6e9bb05a93c31c26aab412072,12,I love this game!
8c32b1f76c746d784f0c1fd005e2a220,12,boring
9dc7bb11a6754203888b29c67a4c188b,11,very interesting
4dc5587eb2e22fdc7650b545733c5a03,10,love this game!
02d6b9885a7c07e413ff18a3dbbdf8bc,10,not as advertised
8d2083fee1dddbdfec2843635c46c6e2,10,fun and relaxing
a76637b62ea99acda12f5859313f539a,9,interesting
285c9c48fdf3b9c09b0d46494e4dd920,9,Very relaxing
97cc8426ce004f92b4806621be4c157c,9,it's a good game
ef750083f94c5cf1f31b12ff9acdb15a,8,Great game.
bc290c4d685ec60c47142ebb8becf26e,8,very addictive
