language_name_en,count,detected_lang_code
English,10940,en
Afrikaans,501,af
Somali,493,so
Norwegian,338,no
Romanian,333,ro
Spanish,311,es
Slovenian,309,sl
Polish,267,pl
Catalan,222,ca
Danish,192,da
Albanian,171,sq
Italian,153,it
Welsh,140,cy
Tagalog,133,tl
French,112,fr
Indonesian,91,id
Croatian,77,hr
Swahili,64,sw
Dutch,61,nl
Czech,52,cs
Unknown (undetected or too short),51,unknown
Estonian,50,et
Swedish,50,sv
Portuguese,25,pt
Finnish,21,fi
Hungarian,21,hu
Slovak,18,sk
German,17,de
Turkish,16,tr
Arabic,11,ar
Latvian,8,lv
Lithuanian,6,lt
Bengali,5,bn
Hindi,5,hi
Persian (Farsi),5,fa
Marathi,3,mr
Telugu,2,te
Vietnamese,2,vi
Kannada,2,kn
Russian,2,ru
Urdu,2,ur
Chinese (Simplified),2,zh-cn
Thai,1,th
Nepali,1,ne
Other language (ml),1,ml
Ukrainian,1,uk
Tamil,1,ta
Other language (gu),1,gu
