,low_star_1_2,high_star_5
ad,295.0,
addictive,,193.0
ads,757.0,252.0
am,,184.0
awesome,,213.0
best,,317.0
challenging,,203.0
coins,287.0,
enjoy,,224.0
fun,373.0,1459.0
game,2959.0,4491.0
games,261.0,337.0
good,,563.0
great,,776.0
level,627.0,265.0
levels,540.0,254.0
love,,1839.0
many,217.0,
money,458.0,
moves,254.0,
new,179.0,215.0
nice,,274.0
nothing,238.0,
now,485.0,228.0
pay,229.0,
play,764.0,910.0
playing,431.0,753.0
relaxing,,254.0
spend,199.0,
story,,189.0
time,480.0,430.0
update,254.0,
ve,274.0,229.0
want,173.0,
win,221.0,
without,212.0,
years,185.0,283.0
