app_name,score,content_len,content,is_spam_bot_suspect,text_hash
Royal Match,1,38,"Just standard game, not as advertised.",True,1add3207b5305f4e402de5565985f4b7
Royal Match,2,61,Have to play too many levels to reach Kings Nightmare level.😞,True,bb802725101f6bb9c2bb9563cbb5c866
Royal Match,5,21,it is a very fun game,True,22b77ca31d59ba80ee474811d2656e84
Royal Match,5,61,it's a 5 ✨ rating and a 💯 percent rating and again thank you.,True,b9ba1aa812536d468c155813f22bead4
Royal Match,5,14,good time pass,True,7cfa7d20d9e3c012bd1b47fd9d31a886
Royal Match,2,134,It's stupid that the propeller decides where it wants to go hit especially when paired with the TNT. why can't it be controlled? 🤷🏾‍♂️,True,45f89035b480fd9b36fa135dd39a7d4d
Royal Match,3,17,stupidly annoying,True,d6ffbc4c356b1e47a0bbd1eaa3be0b7d
Royal Match,1,192,This is a really fun game however there are way too many very hard levels that takes such a long time to play that it actually takes the fun out of it. I probably won't be playing much longer.,True,9749faca8f69ecdb66bc803ac25a10eb
Royal Match,5,13,Very nice app,True,1e8b0be4b90489c41f05caf1dd940ebf
Royal Match,3,26,this is a pretty good game,True,ce82d03f3e9c76b29f4c64b65cd06ee4
Royal Match,5,63,im just addicted this game. 6years continuously played. no bore,True,03961f80a3c549c4fdb835899afe569f
Royal Match,1,72,my app keep crashing. did everything you suggested but it still crashing,True,c2e20e750395fbd3ad08b70b8f833902
Royal Match,1,192,I'm sick of all these games that advertise the game to be one way but then it's completely different. This is EXACTLY like royal match. It's literally the same game with different backgrounds.,True,7bec7bc6b1680a602634797867d6d12c
Royal Match,2,36,Advestised game mode not to be found,True,68c2b014cd9ba7a388269b8f51befe6b
Royal Match,1,26,just not into bombs. peace,True,7b0e1a878b999310e3622ea325fcdbd7
Royal Match,1,268,"First it creates addiction, then it forces you to pay if you want to make any progress. There should be laws protecting children (and their parents) from games like this. It's like narcotics, just different kind. Don't waste your time to figure this out, just skip it.",True,70892475b54e312b79fae9cad9e05415
Royal Match,5,14,very nice game,True,fe31e048ac7538d40570174e27044b59
Royal Match,4,60,Updates every Monday is the only fine matter about the game.,True,8fc77ea7b9e16fe09e23880e7458c2f5
Royal Match,5,10,great game,True,d83769e2937e56c922fadeb91a512422
Royal Match,3,35,good game horrendous amount of ads.,True,e6b591fd2720d232e4942bf3fba3f271
