section,metric,value
run,run_time,2026-05-05 16:26:06
run,raw_input_file,/Users/williamzhang/Desktop/google-play-reviews-pipeline/google play/data/raw/google_play_reviews_raw.csv
p0,raw_rows,16800
p0,duplicate_rate,0.0
p0,empty_text_rate,0.0001
p0,short_text_rate_lt5,0.0899
p0,parseable_time_rate,1.0
p0,parseable_score_rate,1.0
p0,clean_all_rows,15290
p1,english_rate_after_p0,0.7155
p1,noise_rate_after_p0,0.0025
p2,missing_key_fields_rate,0.0
p2,spam_bot_suspect_rate,0.4161
p2,inconsistent_rating_rate,0.037
p2,time_anomaly_rate,0.2817
output,clean_en_rows,10940
