app_id,app_name,mean_score,median_score,std_score,n_reviews,share_1,share_2,share_3,share_4,share_5,share_high_4_5,share_low_1_2,share_has_dev_reply,share_is_noise,share_is_spam_bot_suspect,share_is_time_anomaly,share_is_inconsistent_rating
com.rovio.dream,Angry Birds Dream Blast,3.766944,5.0,1.625072,841,0.198573,0.066587,0.071344,0.096314,0.567182,0.663496,0.265161,0.349584,0.0,0.08799,0.023781,0.058264
com.rovio.angrybirdsfriends,Angry Birds Friends,3.599156,5.0,1.67952,711,0.230661,0.075949,0.077356,0.09564,0.520394,0.616034,0.30661,0.779184,0.0,0.144866,0.102672,0.042194
com.king.candycrushsaga,Candy Crush Saga,4.22807,5.0,1.365247,513,0.120858,0.025341,0.040936,0.130604,0.682261,0.812865,0.146199,0.0,0.0,0.873294,0.863548,0.025341
com.king.candycrushsodasaga,Candy Crush Soda Saga,3.967692,5.0,1.52449,650,0.149231,0.069231,0.073846,0.08,0.627692,0.707692,0.218462,0.0,0.0,0.396923,0.332308,0.038462
air.com.sgn.cookiejam.gp,Cookie Jam,4.081725,5.0,1.398098,881,0.103292,0.07832,0.083995,0.102157,0.632236,0.734393,0.181612,0.231555,0.0,0.163451,0.081725,0.040863
com.disney.emojimatch_goo,Disney Emoji Blitz,3.839632,5.0,1.511315,979,0.158325,0.059244,0.106231,0.136874,0.539326,0.6762,0.217569,0.225741,0.0,0.082737,0.024515,0.040858
com.playrix.gardenscapes,Gardenscapes,3.48254,5.0,1.741346,630,0.271429,0.068254,0.073016,0.080952,0.506349,0.587302,0.339683,0.004762,0.0,0.447619,0.368254,0.050794
com.playrix.homescapes,Homescapes,3.824405,5.0,1.595112,672,0.188988,0.061012,0.056548,0.123512,0.56994,0.693452,0.25,0.005952,0.0,0.559524,0.517857,0.047619
dk.tactile.lilysgarden,Lily's Garden,3.734203,5.0,1.644195,997,0.203611,0.07322,0.077232,0.077232,0.568706,0.645938,0.27683,0.986961,0.0,0.105316,0.038114,0.060181
dk.tactile.mansionstory,Penny & Flo,3.940162,5.0,1.477228,986,0.138945,0.064909,0.093306,0.122718,0.580122,0.70284,0.203854,0.943205,0.0,0.068966,0.013185,0.054767
com.dreamgames.royalkingdom,Royal Kingdom,2.488941,2.0,1.701722,859,0.48312,0.123399,0.074505,0.059371,0.259604,0.318976,0.606519,0.0,0.0,0.704307,0.692666,0.044237
com.dreamgames.royalmatch,Royal Match,3.328947,4.0,1.763045,684,0.304094,0.067251,0.086257,0.080409,0.461988,0.542398,0.371345,0.004386,0.0,0.694444,0.673977,0.04386
net.peakgames.toonblast,Toon Blast,3.401525,4.0,1.736129,787,0.27446,0.087675,0.073698,0.090216,0.473952,0.564168,0.362135,0.007624,0.0,0.283355,0.226175,0.053367
net.peakgames.amy,Toy Blast,3.888,5.0,1.597976,750,0.186667,0.052,0.061333,0.086667,0.613333,0.7,0.238667,0.014667,0.0,0.190667,0.106667,0.037333
