app_id,app_name,health_score_rank,n_reviews,global_mean_for_bayesian,bayesian_k,bayesian_adjusted_avg,component_level,component_polarization,component_momentum_raw,component_momentum_01,component_confidence,health_score_pre_confidence,health_score
dk.tactile.mansionstory,Penny & Flo,1,986,3.6755027155393054,200.0,3.8955314292646386,0.7791062858529277,0.796146,0.018333333333333507,0.9247113762020652,1.0,0.8214714583916874,0.8214714583916874
com.king.candycrushsaga,Candy Crush Saga,2,513,3.6755027155393054,200.0,4.07307216424665,0.81461443284933,0.853801,-0.08276082198443557,0.753389193933396,1.0,0.8130234216230809,0.8130234216230809
air.com.sgn.cookiejam.gp,Cookie Jam,3,881,3.6755027155393054,200.0,4.006568240617818,0.8013136481235635,0.818388,-0.05243708048308654,0.8047782139240403,1.0,0.8081558127304354,0.8081558127304354
com.rovio.dream,Angry Birds Dream Blast,4,841,3.6755027155393054,200.0,3.7493760298826717,0.7498752059765343,0.734839,0.06275980354927721,1.0,1.0,0.8071437323906138,0.8071437323906138
com.disney.emojimatch_goo,Disney Emoji Blitz,5,979,3.6755027155393054,200.0,3.8117898821949625,0.7623579764389925,0.782431,0.007582972582972638,0.9064929613180591,1.0,0.8054172809051118,0.8054172809051118
net.peakgames.amy,Toy Blast,6,750,3.6755027155393054,200.0,3.843263729587222,0.7686527459174444,0.761333,-0.02412923599315659,0.8527509347810736,1.0,0.7871153820622461,0.7871153820622461
com.king.candycrushsodasaga,Candy Crush Soda Saga,7,650,3.6755027155393054,200.0,3.8989415801268956,0.7797883160253791,0.7815380000000001,-0.07022826584860592,0.774627858620251,1.0,0.7791105910652145,0.7791105910652145
com.rovio.angrybirdsfriends,Angry Birds Friends,8,711,3.6755027155393054,200.0,3.615917079152427,0.7231834158304854,0.69339,0.027339386937601212,0.9399737497019163,1.0,0.7669533037576732,0.7669533037576732
dk.tactile.lilysgarden,Lily's Garden,9,997,3.6755027155393054,200.0,3.7243950995053137,0.7448790199010628,0.72317,-0.061182167374959164,0.7899580953352319,1.0,0.748550631794233,0.748550631794233
com.playrix.gardenscapes,Gardenscapes,10,630,3.6755027155393054,200.0,3.529037039888989,0.7058074079777978,0.660317,-0.1526165148333577,0.6350061904338491,1.0,0.6721854607995814,0.6721854607995814
net.peakgames.toonblast,Toon Blast,11,787,3.6755027155393054,200.0,3.4570422675864854,0.6914084535172971,0.637865,-0.1214875667845637,0.6877597773715307,1.0,0.6717560757498016,0.6717560757498016
com.playrix.homescapes,Homescapes,12,672,3.6755027155393054,200.0,3.7902530998943362,0.7580506199788672,0.75,-0.2943248364277209,0.3948560173119275,1.0,0.6644342523195287,0.6644342523195287
com.dreamgames.royalmatch,Royal Match,13,684,3.6755027155393054,200.0,3.4073532704840055,0.6814706540968011,0.628655,-0.3146774168399504,0.3603649185925058,1.0,0.5827087412868469,0.5827087412868469
com.dreamgames.royalkingdom,Royal Kingdom,14,859,3.6755027155393054,200.0,2.7130319755503884,0.5426063951100777,0.39348099999999997,-0.5273223094559858,0.0,1.0,0.35476090804403104,0.35476090804403104
