app_id,app_name,publisher,n_reviews,mean_score,bayesian_adjusted_avg,health_score,health_score_rank
dk.tactile.lilysgarden,Lily's Garden,Tactile Games,997,3.734203,3.7243950995053137,0.748550631794233,9
dk.tactile.mansionstory,Penny & Flo,Tactile Games,986,3.940162,3.8955314292646386,0.8214714583916874,1
com.disney.emojimatch_goo,Disney Emoji Blitz,Disney,979,3.839632,3.8117898821949625,0.8054172809051118,5
air.com.sgn.cookiejam.gp,Cookie Jam,SGN (Jam City),881,4.081725,4.006568240617818,0.8081558127304354,3
com.dreamgames.royalkingdom,Royal Kingdom,Dream Games,859,2.488941,2.7130319755503884,0.354760908044031,14
com.rovio.dream,Angry Birds Dream Blast,Rovio,841,3.766944,3.749376029882672,0.8071437323906138,4
net.peakgames.toonblast,Toon Blast,Peak Games,787,3.401525,3.457042267586486,0.6717560757498016,11
net.peakgames.amy,Toy Blast,Peak Games,750,3.888,3.843263729587222,0.7871153820622461,6
com.rovio.angrybirdsfriends,Angry Birds Friends,Rovio,711,3.599156,3.615917079152427,0.7669533037576732,8
com.dreamgames.royalmatch,Royal Match,Dream Games,684,3.328947,3.4073532704840055,0.5827087412868469,13
com.playrix.homescapes,Homescapes,Playrix,672,3.824405,3.790253099894336,0.6644342523195287,12
com.king.candycrushsodasaga,Candy Crush Soda Saga,King,650,3.967692,3.898941580126896,0.7791105910652145,7
com.playrix.gardenscapes,Gardenscapes,Playrix,630,3.48254,3.529037039888989,0.6721854607995814,10
com.king.candycrushsaga,Candy Crush Saga,King,513,4.22807,4.07307216424665,0.8130234216230809,2
